time,00_bitset1,00_bitset2,00_bitset3,01_mm1,01_mm2,01_mm3,02_mv1,02_mv2,02_mv3,03_sort1,03_sort2,03_sort3,04_spmv1,04_spmv2,04_spmv3,brainfuck-bootstrap,brainfuck-mandelbrot-nerf,brainfuck-pi-nerf,conv0,conv1,conv2,crypto-1,crypto-2,crypto-3,dead-code-elimination-1,dead-code-elimination-2,dead-code-elimination-3,fft0,fft1,fft2,floyd-0,floyd-1,floyd-2,gameoflife-gosper,gameoflife-oscillator,gameoflife-p61glidergun,hoist-1,hoist-2,hoist-3,instruction-combining-1,instruction-combining-2,integer-divide-optimization-1,integer-divide-optimization-2,integer-divide-optimization-3,median0,median1,median2,shuffle0,shuffle1,shuffle2,sl1,sl2,sl3,stencil0,stencil1,transpose0,transpose1,transpose2
2099-TEDA,1382333, 2771953, 4154154, 4539839, 4140276, 3103875, 4941648, 2099617, 3498906, 1022954, 14346074, 2865799, 2686449, 1782048, 1468845, 9300698, 32824893, 1802099, 10307778, 17355302, 12739538, -1, -1, -1, 47, 4623, 458750, 5888507, 12610739, 12169764, 44, 28276, 13983969, -1, -1, -1, 83280, -1, -1, -1, -1, -1, -1, -1, 2124657, 1634, 11163654, 6075207, 9190183, 3417283, -1, -1, -1, 38657, 87979, 3003853, 2768785, 9822821
2022-05-21 19:10:08,3742758,7431323,11144845,13562615,12223835,9303101,7870316,5199410,6258659,2281079,38571772,7502942,8687948,5156274,6305241,-1,-1,-1,13113018,23078398,17219537,7897211,6529882,8577299,-1,-1,-1,11411950,24292066,23512146,109,89079,44528784,29792541,26108740,26289687,118963,-1,-1,300277,-1,-1,-1,-1,7259562,6560419,43643954,8597217,9979213,5516515,11815981,4350685,2053085,70443,178716,6680824,9210114,15012848
2022-05-21 20:55:36,3742758,7431323,11144845,13562615,12223835,9303101,7870316,5199410,6258659,2281079,38571772,7502942,8687948,5156274,6305241,-1,-1,-1,13113018,23078398,17219537,7897211,6529882,8577299,-1,-1,-1,11411950,24292066,23512146,109,89079,44528784,29792541,26108740,26289687,118963,-1,-1,300277,-1,-1,-1,-1,7259562,6560419,43643954,8597217,9979213,5516515,11815981,4350685,2053085,70443,178716,6680824,9210114,15012848
2022-05-21 21:04:52,3742758,7431323,11144845,13562615,12223835,9303101,7870316,5199410,6258659,2281079,38571772,7502942,8687948,5156274,6305241,-1,-1,-1,13113018,23078398,17219537,7897211,6529882,8577299,-1,-1,-1,11411950,24292066,23512146,109,89079,44528784,29792541,26108740,26289687,118963,-1,-1,300277,-1,-1,-1,-1,7259562,6560419,43643954,8597217,9979213,5516515,11815981,4350685,2053085,70443,178716,6680824,9210114,15012848
2022-05-21 21:16:35,3742758,7431323,11144845,13562615,12223835,9303101,7870316,5199410,6258659,2281079,38571772,7502942,8687948,5156274,6305241,-1,-1,-1,13113018,23078398,17219537,7897211,6529882,8577299,-1,-1,-1,11411950,24292066,23512146,109,89079,44528784,29792541,26108740,26289687,118963,-1,-1,300277,-1,-1,-1,-1,7259562,6560419,43643954,8597217,9979213,5516515,11815981,4350685,2053085,70443,178716,6680824,9210114,15012848
2022-05-21 21:28:57,3742758,7431323,11144845,13562615,12223835,9303101,7870316,5199410,6258659,2281079,38571772,7502942,8687948,5156274,6305241,-1,-1,-1,13113018,23078398,17219537,7897211,6529882,8577299,-1,-1,-1,11411950,24292066,23512146,109,89079,44528784,29792541,26108740,26289687,118963,-1,-1,300277,-1,-1,-1,-1,7259562,6560419,43643954,8597217,9979213,5516515,11815981,4350685,2053085,70443,178716,6680824,9210114,15012848
2022-05-23 00:03:25,3742758,7431323,11144845,13562615,12223835,9303101,7870316,5199410,6258659,2281079,38571772,7502942,8687948,5156274,6305241,-1,-1,-1,13113018,23078398,17219537,7897211,6529882,8577299,-1,-1,-1,11411950,24292066,23512146,109,89079,44528784,29792541,26108740,26289687,118963,-1,-1,300277,-1,-1,-1,-1,7259562,6560419,43643954,8597217,9979213,5516515,11815981,4350685,2053085,70443,178716,6680824,9210114,15012848
2022-06-27 20:25:47,3705638,7414280,11156639,14773884,12205481,9287783,7857205,5204504,6175552,2247302,38754228,7544447,7942890,4601627,6078388,-1,-1,-1,13195743,23411855,17388142,7750769,6385705,8404780,-1,-1,-1,11286733,24045523,23336884,112,90595,45269860,32118411,28088181,28209318,119049,-1,-1,299743,-1,-1,-1,-1,8245530,6574768,47538776,8066909,10618546,5587425,11847730,4257008,2029470,106000,146998,6874629,9304199,15445270
2022-06-27 20:38:38,3705638,7414280,11156639,14773884,12205481,9287783,7857205,5204504,6175552,2247302,38754228,7544447,7942890,4601627,6078388,-1,-1,-1,13195743,23411855,17388142,7801001,6357415,8404738,-1,-1,-1,11286733,24045523,23336884,112,90595,45269860,32118411,28088181,28209318,119049,-1,-1,299743,-1,-1,-1,-1,8278289,6578065,47547938,8066909,10618546,5587425,11847730,4257008,2029470,106000,146998,6874629,9304199,15445270
2022-06-27 21:02:09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11882445,4256490,2027310,-1,-1,-1,-1,-1
